"scientific_name","common_english","common_indonesian","common_malay","description","image_url","source_url_1","source_url_2","data_source"
"Copsychus pyrropygus","Rufous-tailed Shama","Kucica Ekor-kuning","","A striking shama with a broad rufous-orange tail tipped black. Males have dark gray upperparts, short white eyebrows, and rufous rump and belly, while females are browner above with paler but more extensive orange on the underparts. Found in lowland and foothill forests, favoring primary habitats and less tolerant of disturbance than other shamas. Forages near the ground or in trees. Threatened by habitat loss across its limited range in southern Thailand, Malaysia, Sumatra, and Borneo.","https://static.inaturalist.org/photos/58534192/medium.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=E22B9F791459E775","https://ebird.org/species/rutsha2","birdApp classification_dict"
"Copsychus stricklandii","White-crowned Shama","Kucica hutan","","An elegant songbird with a long graduated tail. Males are glossy black above with bright rufous-brown underparts and white crown, rump, and undertail, while females are similar but paler. Mainly distributed in Sabah, with some hybridization with the white-rumped shama elsewhere in Borneo. Found in lowland and lower montane forests, including disturbed areas and abandoned plantations. Often trapped for the bird trade. Its varied song includes loud whistles, flute-like notes, and frequent mimicry, with a sharp “tsick” call.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/White-crowned_Shama_%28Copsychus_stricklandii%29%2C_Sabah%2C_Borneo_%288066938041%29.jpg/1280px-White-crowned_Shama_%28Copsychus_stricklandii%29%2C_Sabah%2C_Borneo_%288066938041%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=8C978D58B5CC7328","https://ebird.org/species/whrsha16","birdApp classification_dict"
"Corvus enca","Slender-billed Crow","Gagak sunda","","A large black crow with a relatively long, slightly downcurved bill and a slimmer shape than the large-billed crow. Plumage shows a dark bluish gloss at close range. Inhabits intact lowland forests and forest edges, usually seen in pairs or small groups, often flying with deep wingbeats over roads, rivers, or forest openings. Gives harsh nasal calls typical of crows.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Corvus_enca_celebensis.JPG/500px-Corvus_enca_celebensis.JPG","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=B768D7C3753D8C84","https://ebird.org/species/slbcro2","birdApp classification_dict"
"Corvus macrorhynchos","Large-billed Crow","Gagak Kampung","Gagak Paruh Besar","A large black crow with a long, dagger-like bill that curves along the upper edge. Plumage shows variable gloss across its wide range. Highly adaptable, feeding on carrion, human scraps, and food stolen from other birds, and often mobbing raptors in groups. Found in diverse habitats including forests, open woodland, farmland, and urban areas. Voice harsh and raspy, typical of crows.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Jungle_crow_%28Close-up_of_the_head_area%29%2C_Tenn%C5%8Dji_Park%2C_Osaka_II.jpg/1920px-Jungle_crow_%28Close-up_of_the_head_area%29%2C_Tenn%C5%8Dji_Park%2C_Osaka_II.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=8891E279D6486CD9","https://ebird.org/species/labcro1","birdApp classification_dict"
"Corvus unicolor","Banggai Crow","Gagak Banggai","","A small, entirely black crow about 39 cm long with a pale iris and short tail, resembling an all-black piping crow. Endemic to the Banggai Islands off southeastern Sulawesi, Indonesia, it is now known mainly from Peleng Island, where it lives in mountain forest above 500 m elevation. Known for over a century from only two museum specimens and feared extinct, it was rediscovered in 2007-2008. The total population is estimated at around 500 mature individuals and is declining due to habitat loss.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Corvus_unicolor_77308607.jpg/250px-Corvus_unicolor_77308607.jpg","https://avibase.bsc-eoc.org/species.jsp?avibaseid=8D44B0A02787B23D","https://ebird.org/species/bancro1","manual research"
"Corydon sumatranus","Dusky Broadbill","Madi Kelam","Takau Rimba Hujan","A large, odd-looking broadbill, mostly dark with a pale breast patch and a big pink bill. Its long body and size give it a starling-like appearance, though bulkier. Hunts by sallying from perches, often foraging socially in noisy medium-sized groups. Found in lowland to montane forests, usually in wetter areas. Very vocal, giving a variety of calls including rising whistles, soft notes, and harsh rattling sounds. Native to Southeast Asia, and although affected by habitat loss, it remains widespread.","https://upload.wikimedia.org/wikipedia/commons/e/ea/Dusky_Broadbills.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=BB1E6094E362C526","https://ebird.org/species/dusbro1","birdApp classification_dict"
"Cuculus lepidus","Sunda Cuckoo","Kangkok Sunda","","A medium-sized cuckoo, mostly gray above with white underparts barred black, while some females show a rufous “hepatic” morph with dense barring. Very similar to the Oriental and Himalayan cuckoos, but shows darker gray upperparts with stronger contrast, broader barring below, and a yellower unmarked vent. Juveniles are dark gray-brown above with white-edged feathers. More often heard than seen, inhabiting montane and foothill forests across Southeast Asia. Formerly lumped with the Oriental and Himalayan cuckoos but now treated as a distinct species.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Sunda_Cuckoo.tif/lossless-page1-960px-Sunda_Cuckoo.tif.png","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=BC2989BCCB5FF5D4","https://ebird.org/species/suncuc2","birdApp classification_dict (image URL replaced, original was dead/rejected)"
"Cuculus micropterus","Indian Cuckoo","Kangkok India","Sewah India","A slender gray-and-white cuckoo with a loud, far-carrying four-note call. Adults closely resemble Oriental, Himalayan, and Common cuckoos but show darker back and wings with dark eyes. Juveniles are heavily patterned, often with whitish crown, collar, and wing edging. Found in forests, edges, and gardens, laying eggs in the nests of drongos, shrikes, and other hosts. Widely distributed from the Indian Subcontinent to China, Southeast Asia, and Indonesia.","https://upload.wikimedia.org/wikipedia/commons/f/fb/Indian_Cuckoo_%28J%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=5CFEDF61502C909A","https://ebird.org/species/indcuc1","birdApp classification_dict"
"Cuculus saturatus","Himalayan Cuckoo","Kangkok Ranting","Sewah Gunung","A medium-sized (30-35 cm) brood-parasitic cuckoo that breeds from the Himalayas east to southern China and Taiwan, migrating to Southeast Asia and the Greater Sunda Islands for the winter. Adult males are dark ashy-grey above with a blackish, white-spotted and -tipped tail, an ash-grey chin-to-breast, and white underparts barred black; females show a rufous tinge on the breast and sometimes rufous, dark-barred upperparts. It is nearly identical in appearance to the Oriental Cuckoo, from which it was only recognized as a distinct species after a 2005 study; the two are best distinguished by voice.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Himalayan_Cuckoo_Gnathang_Valley_East_Sikkim_India_23.09.2018.jpg/250px-Himalayan_Cuckoo_Gnathang_Valley_East_Sikkim_India_23.09.2018.jpg","https://avibase.bsc-eoc.org/species.jsp?avibaseid=66812DE278F9AD07","https://birdsoftheworld.org/bow/species/himcuc1/cur/introduction","manual research"
"Culicicapa ceylonensis","Grey-headed Canary-Flycatcher","Sikatan kepala kelabu","Sambar Kepala Kelabu","A small, crested flycatcher with a gray head, narrow white eye-ring, olive upperparts, and bright yellow underparts. Active in the canopy, usually in mixed-species flocks but also alone or in pairs, foraging with flycatcher-like sallies. Commonly vocal, giving loud squeaky songs and sharp repeated calls. Found across tropical Asia in forested habitats, with several recognized subspecies. Now placed in the family Stenostiridae, the fairy flycatchers.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Grey-headed_Canary-Flycatcher.jpg/500px-Grey-headed_Canary-Flycatcher.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=D9B57BA430266DA7","https://ebird.org/species/gyhcaf1","birdApp classification_dict"
"Cyanoderma bicolor","Grey-hooded Babbler","Tepus-merbah kalimantan","","A small babbler of lowland and foothill rainforests in Borneo, more common in disturbed forest. Reddish-brown above with dark gray hood and chest, buff underparts, and bare blue skin around the eyes and throat, the latter swelling when calling. Forages low, often in dead foliage. Similar to the chestnut-winged babbler but distinguished by dark eyes and blue facial skin. Vocal, giving owl-like trilling songs along with harsh vibrating calls. Found in Borneo and Banggai Island, and assessed as Least Concern.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Chestnut-winged_Babbler%2C_Danum_Valley%2C_Borneo_%285836179271%29.jpg/1280px-Chestnut-winged_Babbler%2C_Danum_Valley%2C_Borneo_%285836179271%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=BACD6EA83A9CEC7D","https://ebird.org/species/chwbab3","birdApp classification_dict"
"Cyanoderma erythropterum","Chestnut-winged Babbler","Tepus merbah-sampah","","A small undergrowth babbler of lowland and foothill rainforests, including secondary growth. Chestnut-brown above with pale gray face and chest, fading to whitish belly. Lacks the blue facial skin of the similar grey-hooded babbler. Usually in pairs or small groups, foraging at mid-level in forest. Song a trilled, owl-like series, along with noisy vibrating and chattering calls. Found in the Malay Peninsula, Sumatra, and nearby islands, and assessed as Least Concern.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/0A2A5517_Chestnut-winged_babbler.jpg/500px-0A2A5517_Chestnut-winged_babbler.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=89FA492A31C3CDD55","https://ebird.org/species/chwbab1","birdApp classification_dict"
"Cyanoderma melanothorax","Crescentchested Babbler","Tepus Pipi-perak","","A small, attractive babbler endemic to Java and Bali, common in forest edges, abandoned gardens, and disturbed habitats. Bright rufous above with grayish underparts, the extent of reddish below varying by subspecies—birds in Bali show the strongest reddish wash. Forages mainly in the undergrowth but sometimes higher, joining mixed flocks or seen alone or in pairs. Song is a fast, soft series often given in duets, with additional dry chattering calls. Despite its restricted range, it remains widespread and is assessed as Least Concern.","https://upload.wikimedia.org/wikipedia/commons/2/23/Crescent-chested_Babbler_%28Stachyris_melanothorax%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=BF54D9A61DBE9DD2","https://ebird.org/species/crcbab1","birdApp classification_dict"
"Cyanoderma rufifrons","Rufous-fronted Babbler","Tepus Dahi-merah","Rimba Api","A tiny brown babbler with a rufous crown, inhabiting forests and edges with dense understory from the Himalayan foothills into Southeast Asia, at 120–2,100 m. Very similar to Rufous-capped Babbler but tends to show a paler throat, grayer face, less yellow below, and fine dark crown streaks with a duller, shorter rufous patch. Vocal repertoire includes quick “chit” and “whit” calls, rolling rattles, and a song of rising piping whistles. Formerly, the Buff-chested Babbler was treated as a separate species but is now included within this species.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Stachyris_rodolphei.jpg/960px-Stachyris_rodolphei.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=B132FDFE8C502C30","https://ebird.org/species/rufbab10","birdApp classification_dict (image URL replaced, original was dead/rejected)"
"Cymbirhynchus macrorhynchos","Black-and-red Broadbill","Sempur-hujan Sungai","Takau Rakit","A striking broadbill of lowland rivers, mangroves, and forested streams. Glossy black above with bold white wing bars, rich maroon underparts and neck-band, and a narrow black chin stripe. Bill large and distinctive, bright blue with warm orange and yellow-green tones. Often conspicuous in breeding season when its long hanging nests are suspended above water. Voice is harsh and nasal, a series of low mechanical croaks. The sole member of its genus (Cymbirhynchus), with females slightly smaller than males. No other bird in its range matches its unique appearance.","https://upload.wikimedia.org/wikipedia/commons/3/3d/Cymbirhynchus_macrorhynchos_by_Jason_Thompson_%28crop%29.png","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=2F81A394BE6ECFFD","https://ebird.org/species/barbro1","birdApp classification_dict (image URL replaced, original was dead/rejected)"
"Cyornis caerulatus","Sunda Blue Flycatcher","Sikatan sunda","Sambar-Biru Paruh Besar","A medium-sized flycatcher endemic to the lowland forests of Sumatra and Borneo. The male is ocean-blue above with a paler forehead, rump, and shoulder patches, and has orange underparts; it is distinguished from the similar Bornean Blue Flycatcher by its darker coloration and longer, slenderer bill. It inhabits subtropical/tropical moist lowland forest and is threatened by ongoing habitat loss.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Cyornis_caerulatus_-_Suzu_Sato_-_658053125.jpeg/250px-Cyornis_caerulatus_-_Suzu_Sato_-_658053125.jpeg","https://avibase.bsc-eoc.org/species.jsp?avibaseid=52C69037F67D632A","https://birdsoftheworld.org/bow/species/lobblf1/cur/introduction","manual research"
"Cyornis umbratilis","Grey-chested Jungle Flycatcher","Sikatan-rimba Dada-kelabu","Sambar Batu","A neat, bright brown flycatcher with large dark eyes, dark broad-based bill, white throat and chest contrasting with a faint brownish “vest.” Found in lowland and foothill broadleaf forests, often perching low or at mid-level, frequently flicking and fanning its tail. Voice is a series of short, thin, high-pitched notes. Occurs in Brunei, Indonesia, Malaysia, and Thailand, mainly in moist forests and swampy habitats. Classified as Near Threatened due to ongoing habitat loss.","https://observation.org/media/photo/105761521.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=F63B6317FECDFB81","https://ebird.org/species/gycjuf1","birdApp classification_dict"
"Cyornis unicolor","Pale Blue Flycatcher","Sikatan Biru-muda","Sambar Biru Muda","A fairly large forest flycatcher, typically seen perched quietly at mid-level in dense woodland. Males are uniformly pale blue with a paler grayish belly. Females are brownish-gray with white throat and belly, often showing a faint rufous wash in the tail, lacking bright colors and slightly larger-bodied than similar female flycatchers. Juveniles resemble pale green-blue flycatchers but show greener-blue tones, a pale eye-ring, and a pale rump bar. Best distinguished from the lookalike verditer flycatcher by structure—shorter bill, no black mask, and subtler coloration.","https://upload.wikimedia.org/wikipedia/commons/1/15/Pale_blue_flycatcher1_6x4.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=480F2C3C8D519862","https://ebird.org/species/pabfly2","birdApp classification_dict"
"Dendrocitta cinerascens","Bornean Treepie","Tangkaruli Kalimantan","","A long-tailed corvid, restricted to hill and montane forests of Borneo—the only treepie on the island. Shows a thick black bill, black wings boldly marked with white, and bright tawny-brown underparts and face. Highly social and noisy, often moving in groups that keep contact through an array of grunts, rasps, and metallic ringing notes. Sometimes tame and approachable, especially along forest trails and around campsites. Sometimes considered a subspecies of the Sumatran treepie but usually treated as a distinct Bornean endemic.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Bornean_Treepie_%28Dendrocitta_cinerascens%29.jpg/500px-Bornean_Treepie_%28Dendrocitta_cinerascens%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=1DF3553B4785FEB7","https://ebird.org/species/bortre1","birdApp classification_dict"
"Dicaeum trigonostigma","Orange-bellied Flowerpecker","Cabai Bunga-api","Sepah Puteri Bukit","A tiny, active flowerpecker, with males showing bright bluish-gray upperparts, yellow to orange underparts (varying by subspecies), and a small orange patch on the back. Females are duller but still distinctive with yellow-washed underparts and rump. Forages busily like other flowerpeckers, hovering briefly at flowers or gleaning insects from foliage. Common in forest edges, gardens, and village surroundings from lowlands up to foothills, less frequent in dense forest. Voice a mix of sharp, buzzy notes and thin calls. Widely distributed across South and Southeast Asia, including Bangladesh, India, Myanmar, Thailand, Malaysia, Brunei, Singapore, Indonesia, and the Philippines.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Orang-bellied_Flowerpecker.jpg/500px-Orang-bellied_Flowerpecker.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=3E81AAE06D914E45","https://ebird.org/species/orbflo1","birdApp classification_dict"
"Dicrurus bracteatus","Spangled Drongo","Srigunting Lencana","","A striking, glossy-black drongo with a long, deeply forked tail that often curves upward at the tips. Adults have bright red eyes, while juveniles show darker eyes. Plumage shines with iridescent hues in good light. Distinguished from glossy starlings by its heavier downcurved bill and tail shape. Found in varied habitats, where it perches conspicuously and aggressively sallies after insects and small prey. Vocal repertoire is harsh and varied, including loud squawks and skillful mimicry of other birds such as butcherbirds and kingfishers. In Australia it is the only drongo, arriving in Queensland in late spring to breed in high, exposed trees.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Dicrurus_bracteatus_-_Wonga.jpg/960px-Dicrurus_bracteatus_-_Wonga.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=FEB566B5EA3A31BE","https://ebird.org/species/spadro1","birdApp classification_dict (image URL replaced, original was dead/rejected)"
"Dicrurus hottentottus","Hair-crested Drongo","Srigunting jambul-rambut","","A large, glossy black drongo with iridescent wings and breast, a thick curved bill, and a triangular tail with flared tips. Some subspecies show fine crest-like forehead feathers, while birds in Java and Sulawesi have white eyes. It is found alone, in small groups, or in mixed flocks across a wide range of habitats. The call is varied and harsh, with metallic, nasal, and horn-like notes.","https://upload.wikimedia.org/wikipedia/commons/0/0c/020_Hair-crested_drongo_in_the_rain_in_Jim_Corbett_National_Park_Photo_by_Giles_Laurent.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=D869DAB58886F340","https://ebird.org/species/hacdro1","birdApp classification_dict"
"Dicrurus leucophaeus","Ashy Drongo","","Cecawi Kelabu","A medium-sized, slender drongo with red eyes and gray plumage that appears nearly black in the west of its range and paler in the east, where many birds also show a distinct pale oval patch on the face. It has a long, deeply forked tail and is common in wooded areas, often sallying out in twisting flight to catch insects and aggressively chasing other birds that compete for food or nectar. Most populations migrate southward in winter. It resembles the black drongo but is slimmer and usually occurs in different habitats. The call is a mix of harsh and sweet notes, and it sometimes mimics other species, though the imitation is not very precise.","https://upload.wikimedia.org/wikipedia/commons/f/fa/Ashy_Drongo_Dicrurus_leucophaeus_mouhoti_%28Walden%2C_1870%29_%2816353975222%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=5FD53BB1BBFAE015","https://ebird.org/species/ashdro1","birdApp classification_dict"
"Dicrurus paradiseus","Greater Racket-tailed Drongo","Srigunting Batu","Anting-anting","A large glossy black drongo with a backward-curving crest and long racket-shaped outer tail feathers, though young birds lack the elongated streamers. It lives in forests, often joins mixed-species flocks, and is highly vocal, producing metallic notes and expert imitations to attract attention or steal prey. Widespread across Asia, it shows notable regional variation.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Greater_racket-tailed_drongo_%40_Kanjirappally_01.jpg/960px-Greater_racket-tailed_drongo_%40_Kanjirappally_01.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=2042CD4209B252E5","https://ebird.org/species/grtdro1","birdApp classification_dict (image URL replaced, original was dead/rejected)"
"Dicrurus remifer","Lesser Racket-tailed Drongo","Srigunting Bukit","Cecawi Gunung","A medium-sized glossy black drongo with bright red eyes and two long outer tail feathers ending in decorative rackets that vary in shape across its range. Juveniles are duller and lack the long streamers. It resembles the larger greater racket-tailed drongo but lacks a crest, giving the head a flat appearance, and has squarer tail tips. Found in tropical forests from mid to high elevations, it forages mostly beneath closed canopy, often joining mixed-species flocks. Its vocal range is impressive, including ringing whistles, bouncing notes, harsh nasal calls, and imitations of many other birds.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Lesser_racket-tailed_drongo_%28Dicrurus_remifer_tectirostris%29.jpg/960px-Lesser_racket-tailed_drongo_%28Dicrurus_remifer_tectirostris%29.jpg","","","birdApp classification_dict (image URL replaced, original was dead/rejected)"
"Diphyllodes respublica","Wilson's Bird-of-paradise","Cendrawasih Botak","","A small bird-of-paradise found only in the lowland and foothill forests of Waigeo and Batanta. Males are striking, with bare pale blue skin on the crown divided by thin black lines, a velvety dark green breast, crimson back, yellow collar, and a flat, circular tail with iridescent blue streamers. During courtship, the male raises its feathers into an elaborate display while calling with a rising, descending “piuu!”. Females are brown above with rufous wings and barred underparts. Readily identifiable within its limited range.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Wilson%27s_Bird-of-Paradise_0A2A1913.jpg/1920px-Wilson%27s_Bird-of-Paradise_0A2A1913.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=1B03A72273A380B3","https://ebird.org/species/wbopar1","birdApp classification_dict"
"Dryocopus javensis","White-bellied Woodpecker","Pelatuk Ayam","Belatok Gajah","A strikingly large black woodpecker with a contrasting white belly and pale eyes. Males show a bright red crest, while females have a darker one. Its size and mostly black plumage make it unmistakable within its range. Found in tall dead trees, both standing and fallen, often near rivers, where it drums powerfully and calls with loud “kyick!” notes and long “keck” series. Usually seen alone or in pairs.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/WhiteBelliedWoodpecker.JPG/960px-WhiteBelliedWoodpecker.JPG","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=0874151848DB619B","https://ebird.org/species/whbwoo2","birdApp classification_dict (image URL replaced, original was dead/rejected)"
"Ducula aenea","Green Imperial Pigeon","Pergam Hijau","Pergam","A large and elegant forest pigeon, mainly pale silvery gray with rich green wings and back. Some populations, such as in Sulawesi and northern Philippines, show a distinct orange-ochre patch on the nape. It inhabits lowland to foothill forests, including edges and secondary growth near villages. Very vocal, giving a deep resonant “rrruh-RUOOHH” along with varied longer or modulated calls. Widely distributed across South and Southeast Asia into Indonesia and the Philippines.","https://upload.wikimedia.org/wikipedia/commons/1/17/DuculaAenea.JPG","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=579C780F34888DE8","https://ebird.org/species/gripig1","birdApp classification_dict"
"Eclectus roratus","Moluccan Eclectus","Nuri Bayan","","A large short-tailed parrot with a big head and heavy bill. Remarkably dimorphic: males are bright green with red underwings, while females are vivid red with purple underparts and underwings. Found in lowland forests of New Guinea, nearby islands, and northern Cape York, often flying high over the canopy in the morning while giving loud, piercing screams. Escapees or introduced birds are also seen outside the natural range.","https://upload.wikimedia.org/wikipedia/commons/8/88/Eclectus_roratus-20030511.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=88A336F3954DD785","https://ebird.org/species/eclpar1","birdApp classification_dict"
"Erythropitta granatina","Garnet Pitta","Paok Delima","Pacat Kepala Merah","A brilliant jewel-like pitta, shy and difficult to spot as it forages quietly on the forest floor. Best located by its distinctive long, slightly broken whistle. When seen, it shows a glowing red crown, dark purplish-blue back, and glittering blue wing coverts. It inhabits wet lowland and foothill forests with dense undergrowth, occasionally persisting in secondary or modified habitats. Found across parts of Southeast Asia from Myanmar and Thailand to Malaysia, Brunei, Indonesia, and Singapore, though threatened by ongoing habitat loss. The Sabah population is now treated separately as the black-crowned pitta.","https://observation.org/media/photo/80604445.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=FE4701A97533887E","https://ebird.org/species/garpit1","birdApp classification_dict"
"Erythropitta ussheri","Black-and-crimson Pitta","","Pacat Jambul Hitam","A striking ground-dwelling pitta, endemic to Borneo’s lowland dipterocarp forests. Shows a jet-black head, dark bluish upperparts, brilliant scarlet underparts, and shining blue wing coverts, with a fine silver streak behind the eye. Closely resembles Garnet Pitta, but lacks the red crown. Despite its vivid colors, it stays low and hidden in shaded gullies and dense undergrowth, moving quietly as it forages. Best detected by its clear, rising whistle that cuts off suddenly. Described in 1877, it is confined to Borneo and does not occur elsewhere.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Black-crowned_Pitta_0A2A1658.jpg/1920px-Black-crowned_Pitta_0A2A1658.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=845C4CA6C5C374ED","https://ebird.org/species/bkhpit1","birdApp classification_dict"
"Eupetes macrocerus","Malaysian Rail-babbler","Sipinjur Melayu","Gembala Kera","A peculiar, rail-like bird of the forest floor, shy and often hidden in dense lowland or foothill forest. Plumage is mostly warm brown, but the face is boldly patterned in black, white, yellow, orange, and rusty-red, with the contrasting black-and-white especially striking in shaded undergrowth. Long legs, neck, and slender bill give it a shorebird-like appearance unlike any other ground bird in its range. During courtship it inflates a violet throat sac and delivers an eerie, rising and falling whistle. Though declining due to loss of primary forest, it can still be found locally in logged or hill forests.","https://upload.wikimedia.org/wikipedia/commons/4/42/Malaysian_Rail-Babler_-_Krung_Ching_-_Thailand_S4E3696_%2814255100911%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=BC5165E4F4CB2EEA","https://ebird.org/species/marbab1","birdApp classification_dict"
"Euptilotus eutilotus","Puff-backed Bulbul","Cucak Rumbai-tungging","Merbah Coklat Berjambul","A scarce, forest-dwelling bulbul of the Sunda region, restricted to the Malay Peninsula, Sumatra, and Borneo. Plain brown overall with a short crest and a distinctive ability to raise the feathers of its upper back into a loose puffed “ruff,” giving the species its name. Typically keeps to the midstory of lowland and foothill rainforests, where it moves quietly in pairs or small groups. Like many forest specialists, it is vulnerable to deforestation and ongoing loss of primary habitat.","https://www.oiseaux.net/photos/lars.petersson/images/bulbul.laineux.lape.1g.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=E11E79863EFDB360","https://ebird.org/species/marbab1","birdApp classification_dict"
"Eurylaimus javanicus","Banded Broadbill","Burung Sempur-hujan Rimba","Burung Takau Rimba","A large bird (~21.5–23 cm) with striking purple, yellow, and black plumage. It inhabits subtropical and tropical moist lowland forests. Found across Southeast Asia, including Indonesia, Malaysia, and neighboring countries. Currently considered a common species, not endangered.","https://upload.wikimedia.org/wikipedia/commons/6/67/Eurylaimus_javanicus_-_Khao_Yai.jpg","http://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=07D343CCBE8FAF9F","","birdApp classification_dict"
"Eurylaimus ochromalus","Black-and-yellow Broadbill","Burung Sempur-hujan Darat","Burung Takau Hitam Kuning","A small bird with a black head, breastband, and upperparts, contrasted by a white neckband and yellow streaking on the back and wings. Its underparts are wine-pink fading to yellow, with a bright blue beak edged in black. Females differ slightly with an incomplete black breastband. Inhabits tropical forests of Southeast Asia and is generally considered a common species","https://upload.wikimedia.org/wikipedia/commons/1/18/Black-and-yellow_broadbill_%28cropped%29.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=C429744BA607CD0F","","birdApp classification_dict"
"Ficedula dumetoria","Rufous-chested Flycatcher","Burung Sikatan Dada-merah","Burung Sambar Dada Oren","A small bird from the Muscicapidae family with a distinctive rufous-colored chest. It inhabits subtropical and tropical moist lowland and montane forests. Found in Brunei, Indonesia, Malaysia, and Thailand. Currently considered a threatened species due to habitat loss.","https://upload.wikimedia.org/wikipedia/commons/d/d2/ErythromyiasKeulemans.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=EE4C23201A470D92","","birdApp classification_dict"
"Ficedula hyperythra","Snowy-browed Flycatcher","Sikatan Bodoh","Burung Sambar Kening Putih","A very small flycatcher with a large head, big eyes, and short tail. Males are blue above with a white eyebrow and bright orange throat, while females are brown with reddish wings and pale eye-rings. It inhabits dense forests and bamboo thickets at higher elevations, sometimes reaching foothills. Generally considered a common species.","https://upload.wikimedia.org/wikipedia/commons/e/e4/Snowy-browed_Flycatcher_0A2A2564.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=0EEEF8C218D58EC2","https://ebird.org/species/snbfly1","birdApp classification_dict"
"Ficedula westermanni","Little Pied Flycatcher","Burung Sikatan Belang","Burung Sambar Gunung","A medium-sized bird; males have bold black-and-white markings, while females are dull brownish-gray with pale underparts and a reddish rump. It breeds in broadleaf, coniferous, and mixed forests of foothills and mountains. Often perches openly to catch prey and may join mixed flocks outside the breeding season. Currently regarded as a common species.","https://upload.wikimedia.org/wikipedia/commons/9/9b/Ficedula_westermanni_1.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=58F57E07FF727FAE","https://ebird.org/species/lipfly1","birdApp classification_dict"
"Geoffroyus geoffroyi","Red-cheeked Parrot","Nuri Pipi-merah","","A stocky, short-tailed parrot with predominantly green plumage. Males show red cheeks with a mauve nape and crown, while females are duller with a brown head. Found in Indonesia, Papua New Guinea, and northern Australia. Considered a common species with 17 recognized subspecies.","https://upload.wikimedia.org/wikipedia/commons/2/2a/Geoffroyus_geoffroyi_-Papua_New_Guinea-6_CROP.jpg","https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=1773A3AD098D1A8A","","birdApp classification_dict"
